country_name,Related_indicators,Latest_value,Reference,Measure
Jordan,GDP share of agriculture,4.81,2022,percent
Jordan,Agriculture value added,2.34,2022,billion U.S. dollars
Kazakhstan,"Forest area, percent",1.3,2021,percent
Kazakhstan,Percent agricultural land,79.19,2021,percent
Kazakhstan,Employment in agriculture,15.05,2021,percent
Kazakhstan,GDP share of agriculture,5.25,2022,percent
Kazakhstan,Agriculture value added,11.83,2022,billion U.S. dollars
Palestine,"Forest area, percent",1.7,2021,percent
Palestine,Percent agricultural land,64.93,2021,percent
Palestine,Employment in agriculture,6.66,2021,percent
Palestine,GDP share of agriculture,6.32,2021,percent
Palestine,Agriculture value added,1.14,2021,billion U.S. dollars
Afghanistan,"Forest area, percent",1.9,2021,percent
Afghanistan,Percent agricultural land,58.74,2021,percent
Afghanistan,Employment in agriculture,45.98,2020,percent
Afghanistan,GDP share of agriculture,33.6,2021,percent
Afghanistan,Agriculture value added,4.79,2021,billion U.S. dollars
Iraq,"Forest area, percent",1.9,2021,percent
Iraq,Percent agricultural land,21.71,2021,percent
Iraq,Employment in agriculture,19.82,2021,percent
Iraq,GDP share of agriculture,2.85,2022,percent
Iraq,Agriculture value added,7.53,2022,billion U.S. dollars
Maldives,"Forest area, percent",2.7,2021,percent
Maldives,Percent agricultural land,19.67,2021,percent
Maldives,Employment in agriculture,10.53,2021,percent
Maldives,GDP share of agriculture,4.92,2022,percent
Maldives,Agriculture value added,0.3,2022,billion U.S. dollars
Maldives,Agricultural land,59.0,2021,sq. km.
Maldives,Crop production index,92.9,2021,index points
Syria,"Forest area, percent",2.8,2021,percent
Syria,Percent agricultural land,75.77,2021,percent
Syria,Employment in agriculture,12.49,2021,percent
Syria,GDP share of agriculture,27.82,2021,percent
Syria,Agriculture value added,2.5,2021,billion U.S. dollars
UA Emirates,"Forest area, percent",4.5,2021,percent
UA Emirates,Percent agricultural land,5.51,2021,percent
UA Emirates,Employment in agriculture,1.7,2021,percent
UA Emirates,GDP share of agriculture,0.82,2022,percent
UA Emirates,Agriculture value added,4.18,2022,billion U.S. dollars
Tajikistan,"Forest area, percent",3.1,2021,percent
Tajikistan,Percent agricultural land,35.43,2021,percent
Tajikistan,Employment in agriculture,42.6,2021,percent
Tajikistan,GDP share of agriculture,22.45,2021,percent
Tajikistan,Agriculture value added,2.01,2021,billion U.S. dollars
Pakistan,"Forest area, percent",4.8,2021,percent
Pakistan,Percent agricultural land,47.09,2021,percent
Pakistan,Employment in agriculture,37.54,2021,percent
Pakistan,GDP share of agriculture,22.35,2022,percent
Pakistan,Agriculture value added,83.75,2022,billion U.S. dollars
Israel,"Forest area, percent",6.5,2021,percent
Israel,Percent agricultural land,29.74,2021,percent
Israel,Employment in agriculture,0.89,2021,percent
Israel,GDP share of agriculture,1.26,2021,percent
Israel,Agriculture value added,6.16,2021,billion U.S. dollars
Iran,"Forest area, percent",6.6,2021,percent
Iran,Percent agricultural land,29.01,2021,percent
Iran,Employment in agriculture,16.25,2021,percent
Iran,GDP share of agriculture,12.77,2022,percent
Iran,Agriculture value added,52.78,2022,billion U.S. dollars
Kyrgyzstan,"Forest area, percent",7.0,2021,percent
Kyrgyzstan,Percent agricultural land,54.05,2021,percent
Kyrgyzstan,Employment in agriculture,16.58,2021,percent
Kyrgyzstan,GDP share of agriculture,10.94,2022,percent
Kyrgyzstan,Agriculture value added,1.26,2022,billion U.S. dollars
Uzbekistan,"Forest area, percent",8.4,2021,percent
Uzbekistan,Percent agricultural land,58.3,2021,percent
Uzbekistan,Employment in agriculture,23.95,2021,percent
Uzbekistan,GDP share of agriculture,23.47,2022,percent
Uzbekistan,Agriculture value added,18.86,2022,billion U.S. dollars
Turkmenistan,"Forest area, percent",8.8,2021,percent
Turkmenistan,Percent agricultural land,72.01,2021,percent
Turkmenistan,Employment in agriculture,22.32,2021,percent
Turkmenistan,GDP share of agriculture,11.75,2021,percent
Turkmenistan,Agriculture value added,5.88,2021,billion U.S. dollars
Mongolia,"Forest area, percent",9.1,2021,percent
Mongolia,Percent agricultural land,72.32,2021,percent
Mongolia,Employment in agriculture,24.29,2021,percent
Mongolia,GDP share of agriculture,13.03,2022,percent
Mongolia,Agriculture value added,2.23,2022,billion U.S. dollars
Azerbaijan,"Forest area, percent",13.8,2021,percent
Azerbaijan,Percent agricultural land,57.84,2021,percent
Azerbaijan,Employment in agriculture,34.19,2021,percent
Azerbaijan,GDP share of agriculture,4.76,2022,percent
Azerbaijan,Agriculture value added,3.75,2022,billion U.S. dollars
Armenia,"Forest area, percent",11.5,2021,percent
Armenia,Percent agricultural land,58.83,2021,percent
Armenia,Employment in agriculture,30.28,2021,percent
Armenia,GDP share of agriculture,10.37,2022,percent
Armenia,Agriculture value added,2.02,2022,billion U.S. dollars
Bangladesh,"Forest area, percent",14.5,2021,percent
Bangladesh,Percent agricultural land,77.35,2021,percent
Bangladesh,Employment in agriculture,37.09,2021,percent
Bangladesh,GDP share of agriculture,11.22,2022,percent
Bangladesh,Agriculture value added,51.62,2022,billion U.S. dollars
Lebanon,"Forest area, percent",14.1,2021,percent
Lebanon,Percent agricultural land,66.4,2021,percent
Lebanon,Employment in agriculture,3.81,2021,percent
Lebanon,GDP share of agriculture,1.4,2021,percent
Lebanon,Agriculture value added,0.32,2021,billion U.S. dollars
Singapore,"Forest area, percent",21.4,2021,percent
Singapore,Percent agricultural land,0.92,2021,percent
Singapore,Employment in agriculture,0.32,2021,percent
Singapore,GDP share of agriculture,0.03,2022,percent
Singapore,Agriculture value added,0.13,2022,billion U.S. dollars
Singapore,Agricultural land,7.0,2021,sq. km.
Singapore,Crop production index,99.4,2021,index points
China,"Forest area, percent",23.6,2021,percent
China,Percent agricultural land,55.46,2021,percent
China,Employment in agriculture,24.41,2021,percent
China,GDP share of agriculture,7.3,2022,percent
Philippines,"Forest area, percent",24.2,2021,percent
Philippines,Percent agricultural land,42.54,2021,percent
Philippines,Employment in agriculture,24.27,2021,percent
Philippines,GDP share of agriculture,9.55,2022,percent
Philippines,Agriculture value added,38.61,2022,billion U.S. dollars
India,"Forest area, percent",24.4,2021,percent
India,Percent agricultural land,60.05,2021,percent
India,Employment in agriculture,43.96,2021,percent
India,GDP share of agriculture,16.73,2022,percent
India,Agriculture value added,571.63,2022,billion U.S. dollars
Sri Lanka,"Forest area, percent",34.1,2021,percent
Sri Lanka,Percent agricultural land,45.46,2021,percent
Sri Lanka,Employment in agriculture,25.75,2021,percent
Sri Lanka,GDP share of agriculture,8.75,2022,percent
Sri Lanka,Agriculture value added,6.51,2022,billion U.S. dollars
Thailand,"Forest area, percent",38.8,2021,percent
Thailand,Percent agricultural land,46.0,2021,percent
Thailand,Employment in agriculture,31.59,2021,percent
Thailand,GDP share of agriculture,8.81,2022,percent
Thailand,Agriculture value added,43.67,2022,billion U.S. dollars
country_name,Related_indicators,Latest_value,Reference,Measure
Nepal,"Forest area, percent",41.6,"
                                                                    2021
                                                            ",percent
Nepal,Percent agricultural land,28.75,"
                                                                    2021
                                                            ",percent
Nepal,Employment in agriculture,62.26,"
                                                                    2021
                                                            ",percent
Nepal,GDP share of agriculture,21.06,"
                                                                    2022
                                                            ",percent
Nepal,Agriculture value added,8.60,"
                                                                    2022
                                                            ",billion U.S. dollars
Nepal,Agricultural land,"41,210","
                                                                    2021
                                                            ",sq. km.
Nepal,Crop production index,115.7,"
                                                                    2021
                                                            ",index points
Nepal,Precipitation,"1,500","
                                                                    2020
                                                            ",mm per year
Nepal,"Arable land, percent of land area",14.7,"
                                                                    2021
                                                            ",percent
Nepal,Cereal crop yield by hectar,"3,208","
                                                                    2021
                                                            ",kg per hectar
Nepal,Food production index,122.3,"
                                                                    2021
                                                            ",index points
Nepal,Fertilizer use,97.8,"
                                                                    2021
                                                            ",kg per hectare of arable land
Nepal,Livestock production index,142.2,"
                                                                    2021
                                                            ",index points
Nepal,"Forest area, sq.km ","59,620.3","
                                                                    2021
                                                            ",sq. km
Japan,"Forest area, percent",68.4,"
                                                                    2021
                                                            ",percent
Japan,Percent agricultural land,12.78,"
                                                                    2021
                                                            ",percent
Japan,Employment in agriculture,3.17,"
                                                                    2021
                                                            ",percent
Japan,GDP share of agriculture,1.02,"
                                                                    2022
                                                            ",percent
Japan,Agriculture value added,47.60,"
                                                                    2021
                                                            ",billion U.S. dollars
Japan,Agricultural land,"46,590","
                                                                    2021
                                                            ",sq. km.
Japan,Crop production index,95.9,"
                                                                    2021
                                                            ",index points
Japan,Precipitation,"1,668","
                                                                    2020
                                                            ",mm per year
Japan,"Arable land, percent of land area",11.2,"
                                                                    2021
                                                            ",percent
Japan,Cereal crop yield by hectar,"6,787","
                                                                    2021
                                                            ",kg per hectar
Japan,Food production index,101.2,"
                                                                    2021
                                                            ",index points
Japan,Fertilizer use,217.0,"
                                                                    2021
                                                            ",kg per hectare of arable land
Japan,Livestock production index,105.3,"
                                                                    2021
                                                            ",index points
Japan,"Forest area, sq.km ","249,350.0","
                                                                    2021
                                                            ",sq. km
Bhutan,"Forest area, percent",71.5,"
                                                                    2021
                                                            ",percent
Bhutan,Percent agricultural land,13.45,"
                                                                    2021
                                                            ",percent
Bhutan,Employment in agriculture,55.99,"
                                                                    2021
                                                            ",percent
Bhutan,GDP share of agriculture,15.79,"
                                                                    2021
                                                            ",percent
Bhutan,Agriculture value added,0.44,"
                                                                    2021
                                                            ",billion U.S. dollars
Bhutan,Agricultural land,"5,130","
                                                                    2021
                                                            ",sq. km.
Bhutan,Crop production index,91.0,"
                                                                    2021
                                                            ",index points
Bhutan,Precipitation,"2,200","
                                                                    2020
                                                            ",mm per year
Bhutan,"Arable land, percent of land area",2.5,"
                                                                    2021
                                                            ",percent
Bhutan,Cereal crop yield by hectar,"3,342","
                                                                    2021
                                                            ",kg per hectar
Bhutan,Food production index,99.3,"
                                                                    2021
                                                            ",index points
Bhutan,Fertilizer use,14.3,"
                                                                    2021
                                                            ",kg per hectare of arable land
Bhutan,Livestock production index,146.2,"
                                                                    2021
                                                            ",index points
Bhutan,"Forest area, sq.km ","27,270.6","
                                                                    2021
                                                            ",sq. km
Burma,"Forest area, percent",43.3,"
                                                                    2021
                                                            ",percent
Burma,Percent agricultural land,19.89,"
                                                                    2021
                                                            ",percent
Burma,Employment in agriculture,46.47,"
                                                                    2020
                                                            ",percent
Burma,GDP share of agriculture,22.33,"
                                                                    2022
                                                            ",percent
Burma,Agriculture value added,13.91,"
                                                                    2022
                                                            ",billion U.S. dollars
Burma,Agricultural land,"129,800","
                                                                    2021
                                                            ",sq. km.
Burma,Crop production index,93.9,"
                                                                    2021
                                                            ",index points
Burma,Precipitation,"2,091","
                                                                    2020
                                                            ",mm per year
Burma,"Arable land, percent of land area",16.8,"
                                                                    2021
                                                            ",percent
Burma,Cereal crop yield by hectar,"3,612","
                                                                    2021
                                                            ",kg per hectar
Burma,Food production index,78.4,"
                                                                    2021
                                                            ",index points
Burma,Fertilizer use,38.7,"
                                                                    2021
                                                            ",kg per hectare of arable land
Burma,Livestock production index,41.5,"
                                                                    2021
                                                            ",index points
Burma,"Forest area, sq.km ","282,541.8","
                                                                    2021
                                                            ",sq. km
Vietnam,"Forest area, percent",47.0,"
                                                                    2021
                                                            ",percent
Vietnam,Percent agricultural land,39.43,"
                                                                    2021
                                                            ",percent
Vietnam,Employment in agriculture,29.04,"
                                                                    2021
                                                            ",percent
Vietnam,GDP share of agriculture,11.88,"
                                                                    2022
                                                            ",percent
Vietnam,Agriculture value added,48.55,"
                                                                    2022
                                                            ",billion U.S. dollars
Vietnam,Agricultural land,"123,600","
                                                                    2021
                                                            ",sq. km.
Vietnam,Crop production index,109.3,"
                                                                    2021
                                                            ",index points
Vietnam,Precipitation,"1,821","
                                                                    2020
                                                            ",mm per year
Vietnam,"Arable land, percent of land area",21.7,"
                                                                    2021
                                                            ",percent
Vietnam,Cereal crop yield by hectar,"5,947","
                                                                    2021
                                                            ",kg per hectar
Vietnam,Food production index,111.7,"
                                                                    2021
                                                            ",index points
Vietnam,Fertilizer use,427.6,"
                                                                    2021
                                                            ",kg per hectare of arable land
Vietnam,Livestock production index,129.3,"
                                                                    2021
                                                            ",index points
Vietnam,"Forest area, sq.km ","147,189.9","
                                                                    2021
                                                            ",sq. km
North Korea,"Forest area, percent",49.9,"
                                                                    2021
                                                            ",percent
North Korea,Percent agricultural land,21.55,"
                                                                    2021
                                                            ",percent
North Korea,Employment in agriculture,43.51,"
                                                                    2021
                                                            ",percent
North Korea,Agricultural land,"25,950","
                                                                    2021
                                                            ",sq. km.
North Korea,Crop production index,92.3,"
                                                                    2021
                                                            ",index points
North Korea,Precipitation,"1,054","
                                                                    2020
                                                            ",mm per year
North Korea,"Arable land, percent of land area",19.1,"
                                                                    2021
                                                            ",percent
North Korea,Cereal crop yield by hectar,"3,388","
                                                                    2021
                                                            ",kg per hectar
North Korea,Food production index,92.3,"
                                                                    2021
                                                            ",index points
North Korea,Fertilizer use,18.9,"
                                                                    2021
                                                            ",kg per hectare of arable land
North Korea,Livestock production index,94.7,"
                                                                    2021
                                                            ",index points
North Korea,"Forest area, sq.km ","60,088.6","
                                                                    2021
                                                            ",sq. km
Cambodia,"Forest area, percent",44.8,"
                                                                    2021
                                                            ",percent
Cambodia,Percent agricultural land,34.55,"
                                                                    2021
                                                            ",percent
Cambodia,Employment in agriculture,38.85,"
                                                                    2021
                                                            ",percent
Cambodia,GDP share of agriculture,22.23,"
                                                                    2022
                                                            ",percent
Cambodia,Agriculture value added,6.56,"
                                                                    2022
                                                            ",billion U.S. dollars
Cambodia,Agricultural land,"60,991","
                                                                    2021
                                                            ",sq. km.
Cambodia,Crop production index,123.0,"
                                                                    2021
                                                            ",index points
Cambodia,Precipitation,"1,904","
                                                                    2020
                                                            ",mm per year
Cambodia,"Arable land, percent of land area",23.3,"
                                                                    2021
                                                            ",percent
Cambodia,Cereal crop yield by hectar,"3,606","
                                                                    2021
                                                            ",kg per hectar
Cambodia,Food production index,115.3,"
                                                                    2021
                                                            ",index points
Cambodia,Fertilizer use,49.6,"
                                                                    2021
                                                            ",kg per hectare of arable land
Cambodia,Livestock production index,92.9,"
                                                                    2021
                                                            ",index points
Cambodia,"Forest area, sq.km ","79,126.8","
                                                                    2021
                                                            ",sq. km
Laos,"Forest area, percent",71.8,"
                                                                    2021
                                                            ",percent
Laos,Percent agricultural land,8.80,"
                                                                    2021
                                                            ",percent
Laos,Employment in agriculture,58.09,"
                                                                    2021
                                                            ",percent
Laos,GDP share of agriculture,14.87,"
                                                                    2022
                                                            ",percent
Laos,Agriculture value added,2.30,"
                                                                    2022
                                                            ",billion U.S. dollars
Laos,Agricultural land,"20,310","
                                                                    2021
                                                            ",sq. km.
Laos,Crop production index,113.1,"
                                                                    2021
                                                            ",index points
Laos,Precipitation,"1,834","
                                                                    2020
                                                            ",mm per year
Laos,"Arable land, percent of land area",5.3,"
                                                                    2021
                                                            ",percent
Laos,Cereal crop yield by hectar,"4,392","
                                                                    2021
                                                            ",kg per hectar
Laos,Food production index,114.4,"
                                                                    2021
                                                            ",index points
Laos,Fertilizer use,50.9,"
                                                                    2021
                                                            ",kg per hectare of arable land
Laos,Livestock production index,182.6,"
                                                                    2021
                                                            ",index points
Laos,"Forest area, sq.km ","165,610.0","
                                                                    2021
                                                            ",sq. km
Malaysia,"Forest area, percent",58.0,"
                                                                    2021
                                                            ",percent
Malaysia,Percent agricultural land,26.09,"
                                                                    2021
                                                            ",percent
Malaysia,Employment in agriculture,9.65,"
                                                                    2021
                                                            ",percent
Malaysia,GDP share of agriculture,8.92,"
                                                                    2022
                                                            ",percent
Malaysia,Agriculture value added,36.31,"
                                                                    2022
                                                            ",billion U.S. dollars
Malaysia,Agricultural land,"85,710","
                                                                    2021
                                                            ",sq. km.
Malaysia,Crop production index,95.8,"
                                                                    2021
                                                            ",index points
Malaysia,Precipitation,"2,875","
                                                                    2020
                                                            ",mm per year
Malaysia,"Arable land, percent of land area",2.5,"
                                                                    2021
                                                            ",percent
Malaysia,Cereal crop yield by hectar,"3,802","
                                                                    2021
                                                            ",kg per hectar
Malaysia,Food production index,99.8,"
                                                                    2021
                                                            ",index points
Malaysia,Fertilizer use,"2,146.3","
                                                                    2021
                                                            ",kg per hectare of arable land
Malaysia,Livestock production index,100.4,"
                                                                    2021
                                                            ",index points
Malaysia,"Forest area, sq.km ","190,638.9","
                                                                    2021
                                                            ",sq. km
Qatar,"Forest area, percent",0.0,"
                                                                    2021
                                                            ",percent
Qatar,Percent agricultural land,6.44,"
                                                                    2021
                                                            ",percent
Qatar,Employment in agriculture,1.19,"
                                                                    2021
                                                            ",percent
Qatar,GDP share of agriculture,0.26,"
                                                                    2022
                                                            ",percent
Qatar,Agriculture value added,0.60,"
                                                                    2022
                                                            ",billion U.S. dollars
Qatar,Agricultural land,740,"
                                                                    2021
                                                            ",sq. km.
Qatar,Crop production index,145.1,"
                                                                    2021
                                                            ",index points
Qatar,Precipitation,74,"
                                                                    2020
                                                            ",mm per year
Qatar,"Arable land, percent of land area",1.8,"
                                                                    2021
                                                            ",percent
Qatar,Cereal crop yield by hectar,"8,431","
                                                                    2021
                                                            ",kg per hectar
Qatar,Food production index,162.0,"
                                                                    2021
                                                            ",index points
Qatar,Fertilizer use,240.2,"
                                                                    2021
                                                            ",kg per hectare of arable land
Qatar,Livestock production index,174.5,"
                                                                    2021
                                                            ",index points
Qatar,"Forest area, sq.km ",0.0,"
                                                                    2021
                                                            ",sq. km
Oman,"Forest area, percent",0.0,"
                                                                    2021
                                                            ",percent
Oman,Percent agricultural land,4.74,"
                                                                    2021
                                                            ",percent
Oman,Employment in agriculture,4.12,"
                                                                    2021
                                                            ",percent
Oman,GDP share of agriculture,1.84,"
                                                                    2022
                                                            ",percent
Oman,Agriculture value added,2.11,"
                                                                    2022
                                                            ",billion U.S. dollars
Oman,Agricultural land,"14,662","
                                                                    2021
                                                            ",sq. km.
Oman,Crop production index,152.4,"
                                                                    2021
                                                            ",index points
Oman,Precipitation,125,"
                                                                    2020
                                                            ",mm per year
Oman,"Arable land, percent of land area",0.3,"
                                                                    2021
                                                            ",percent
Oman,Cereal crop yield by hectar,"16,461","
                                                                    2021
                                                            ",kg per hectar
Oman,Food production index,143.9,"
                                                                    2021
                                                            ",index points
Oman,Fertilizer use,328.8,"
                                                                    2021
                                                            ",kg per hectare of arable land
Oman,Livestock production index,129.4,"
                                                                    2021
                                                            ",index points
Oman,"Forest area, sq.km ",24.3,"
                                                                    2021
                                                            ",sq. km
Brunei,"Forest area, percent",72.1,"
                                                                    2021
                                                            ",percent
Brunei,Percent agricultural land,2.54,"
                                                                    2021
                                                            ",percent
Brunei,Employment in agriculture,1.29,"
                                                                    2021
                                                            ",percent
Brunei,GDP share of agriculture,1.10,"
                                                                    2022
                                                            ",percent
Brunei,Agriculture value added,0.18,"
                                                                    2022
                                                            ",billion U.S. dollars
Brunei,Agricultural land,134,"
                                                                    2021
                                                            ",sq. km.
Brunei,Crop production index,96.8,"
                                                                    2021
                                                            ",index points
Brunei,Precipitation,"2,722","
                                                                    2020
                                                            ",mm per year
Brunei,"Arable land, percent of land area",0.8,"
                                                                    2021
                                                            ",percent
Brunei,Cereal crop yield by hectar,"2,885","
                                                                    2021
                                                            ",kg per hectar
Brunei,Food production index,116.7,"
                                                                    2021
                                                            ",index points
Brunei,Fertilizer use,177.3,"
                                                                    2021
                                                            ",kg per hectare of arable land
Brunei,Livestock production index,120.0,"
                                                                    2021
                                                            ",index points
Brunei,"Forest area, sq.km ","3,800.0","
                                                                    2021
                                                            ",sq. km
Saudi Arabia,"Forest area, percent",0.5,"
                                                                    2021
                                                            ",percent
Saudi Arabia,Percent agricultural land,80.77,"
                                                                    2021
                                                            ",percent
Saudi Arabia,Employment in agriculture,2.70,"
                                                                    2021
                                                            ",percent
Saudi Arabia,GDP share of agriculture,2.40,"
                                                                    2022
                                                            ",percent
Saudi Arabia,Agriculture value added,26.66,"
                                                                    2022
                                                            ",billion U.S. dollars
Saudi Arabia,Agricultural land,"1,736,370","
                                                                    2021
                                                            ",sq. km.
Saudi Arabia,Crop production index,179.6,"
                                                                    2021
                                                            ",index points
Saudi Arabia,Precipitation,59,"
                                                                    2020
                                                            ",mm per year
Saudi Arabia,"Arable land, percent of land area",1.6,"
                                                                    2021
                                                            ",percent
Saudi Arabia,Cereal crop yield by hectar,"5,022","
                                                                    2021
                                                            ",kg per hectar
Saudi Arabia,Food production index,159.0,"
                                                                    2021
                                                            ",index points
Saudi Arabia,Fertilizer use,88.7,"
                                                                    2021
                                                            ",kg per hectare of arable land
Saudi Arabia,Livestock production index,144.3,"
                                                                    2021
                                                            ",index points
Saudi Arabia,"Forest area, sq.km ","9,770.0","
                                                                    2021
                                                            ",sq. km
Kuwait,"Forest area, percent",0.4,"
                                                                    2021
                                                            ",percent
Kuwait,Percent agricultural land,8.42,"
                                                                    2021
                                                            ",percent
Kuwait,Employment in agriculture,1.98,"
                                                                    2021
                                                            ",percent
Kuwait,GDP share of agriculture,0.46,"
                                                                    2020
                                                            ",percent
Kuwait,Agriculture value added,0.48,"
                                                                    2020
                                                            ",billion U.S. dollars
Kuwait,Agricultural land,"1,500","
                                                                    2021
                                                            ",sq. km.
Kuwait,Crop production index,117.8,"
                                                                    2021
                                                            ",index points
Kuwait,Precipitation,121,"
                                                                    2020
                                                            ",mm per year
Kuwait,"Arable land, percent of land area",0.4,"
                                                                    2021
                                                            ",percent
Kuwait,Cereal crop yield by hectar,"11,217","
                                                                    2021
                                                            ",kg per hectar
Kuwait,Food production index,123.3,"
                                                                    2021
                                                            ",index points
Kuwait,Fertilizer use,"1,208.1","
                                                                    2021
                                                            ",kg per hectare of arable land
Kuwait,Livestock production index,127.2,"
                                                                    2021
                                                            ",index points
Kuwait,"Forest area, sq.km ",62.5,"
                                                                    2021
                                                            ",sq. km
Bahrain,"Forest area, percent",0.9,"
                                                                    2021
                                                            ",percent
Bahrain,Percent agricultural land,10.25,"
                                                                    2021
                                                            ",percent
Bahrain,Employment in agriculture,0.98,"
                                                                    2021
                                                            ",percent
Bahrain,GDP share of agriculture,0.26,"
                                                                    2022
                                                            ",percent
Bahrain,Agriculture value added,0.11,"
                                                                    2022
                                                            ",billion U.S. dollars
Bahrain,Agricultural land,81,"
                                                                    2021
                                                            ",sq. km.
